     Z         TH        U         V         Q         P
  620.000   304.062     2.000     0.000     1.000   938.000
  622.000   304.062     2.000     0.000     1.000   937.800
  624.000   304.062     2.000     0.000     1.000   937.600
  626.000   304.063     2.000     0.000     1.000   937.400
  628.000   304.063     2.000     0.000     1.000   937.200
  630.000   304.063     2.000     0.000     1.000   937.000
  632.000   304.063     2.000     0.000     1.000   936.800
  634.000   304.063     2.000     0.000     1.000   936.600
  636.000   304.064     2.000     0.000     1.000   936.400
  638.000   304.064     2.000     0.000     1.000   936.200
  640.000   304.064     2.000     0.000     1.000   936.000
  642.000   304.064     2.000     0.000     1.000   935.800
  644.000   304.064     2.000     0.000     1.000   935.600
  646.000   304.065     2.000     0.000     1.000   935.400
  648.000   304.065     2.000     0.000     1.000   935.200
  650.000   304.065     2.000     0.000     1.000   935.000
  652.000   304.065     2.000     0.000     1.000   934.800
  654.000   304.065     2.000     0.000     1.000   934.600
  656.000   304.066     2.000     0.000     1.000   934.400
  658.000   304.066     2.000     0.000     1.000   934.200
  660.000   304.066     2.000     0.000     1.000   934.000
  662.000   304.066     2.000     0.000     1.000   933.800
  664.000   304.066     2.000     0.000     1.000   933.600
  666.000   304.067     2.000     0.000     1.000   933.400
  668.000   304.067     2.000     0.000     1.000   933.200
  670.000   304.067     2.000     0.000     1.000   933.000
  672.000   304.067     2.000     0.000     1.000   932.800
  674.000   304.067     2.000     0.000     1.000   932.600
  676.000   304.068     2.000     0.000     1.000   932.400
  678.000   304.068     2.000     0.000     1.000   932.200
  680.000   304.068     2.000     0.000     1.000   932.000
  682.000   304.068     2.000     0.000     1.000   931.800
  684.000   304.068     2.000     0.000     1.000   931.600
  686.000   304.069     2.000     0.000     1.000   931.400
  688.000   304.069     2.000     0.000     1.000   931.200
  690.000   304.069     2.000     0.000     1.000   931.000
  692.000   304.069     2.000     0.000     1.000   930.800
  694.000   304.069     2.000     0.000     1.000   930.600
  696.000   304.070     2.000     0.000     1.000   930.400
  698.000   304.070     2.000     0.000     1.000   930.200
  700.000   304.070     2.000     0.000     1.000   930.000
  702.000   304.070     2.000     0.000     1.000   929.800
  704.000   304.070     2.000     0.000     1.000   929.600
  706.000   304.071     2.000     0.000     1.000   929.400
  708.000   304.071     2.000     0.000     1.000   929.200
  710.000   304.071     2.000     0.000     1.000   929.000
  712.000   304.071     2.000     0.000     1.000   928.800
  714.000   304.071     2.000     0.000     1.000   928.600
  716.000   304.072     2.000     0.000     1.000   928.400
  718.000   304.072     2.000     0.000     1.000   928.200
  720.000   304.072     2.000     0.000     1.000   928.000
  722.000   304.072     2.000     0.000     1.000   927.800
  724.000   304.072     2.000     0.000     1.000   927.600
  726.000   304.073     2.000     0.000     1.000   927.400
  728.000   304.073     2.000     0.000     1.000   927.200
  730.000   304.073     2.000     0.000     1.000   927.000
  732.000   304.073     2.000     0.000     1.000   926.800
  734.000   304.073     2.000     0.000     1.000   926.600
  736.000   304.074     2.000     0.000     1.000   926.400
  738.000   304.074     2.000     0.000     1.000   926.200
  740.000   304.074     2.000     0.000     1.000   926.000
  742.000   304.074     2.000     0.000     1.000   925.800
  744.000   304.074     2.000     0.000     1.000   925.600
  746.000   304.075     2.000     0.000     1.000   925.400
  748.000   304.075     2.000     0.000     1.000   925.200
  750.000   304.075     2.000     0.000     1.000   925.000
  752.000   304.075     2.000     0.000     1.000   924.800
  754.000   304.075     2.000     0.000     1.000   924.600
  756.000   304.076     2.000     0.000     1.000   924.400
  758.000   304.076     2.000     0.000     1.000   924.200
  760.000   304.076     2.000     0.000     1.000   924.000
  762.000   304.076     2.000     0.000     1.000   923.800
  764.000   304.076     2.000     0.000     1.000   923.600
  766.000   304.077     2.000     0.000     1.000   923.400
  768.000   304.077     2.000     0.000     1.000   923.200
  770.000   304.077     2.000     0.000     1.000   923.000
  772.000   304.077     2.000     0.000     1.000   922.800
  774.000   304.077     2.000     0.000     1.000   922.600
  776.000   304.078     2.000     0.000     1.000   922.400
  778.000   304.078     2.000     0.000     1.000   922.200
  780.000   304.078     2.000     0.000     1.000   922.000
  782.000   304.078     2.000     0.000     1.000   921.800
  784.000   304.078     2.000     0.000     1.000   921.600
  786.000   304.079     2.000     0.000     1.000   921.400
  788.000   304.079     2.000     0.000     1.000   921.200
  790.000   304.079     2.000     0.000     1.000   921.000
  792.000   304.079     2.000     0.000     1.000   920.800
  794.000   304.079     2.000     0.000     1.000   920.600
  796.000   304.080     2.000     0.000     1.000   920.400
  798.000   304.080     2.000     0.000     1.000   920.200
  800.000   304.080     2.000     0.000     1.000   920.000
  802.000   304.080     2.000     0.000     1.000   919.800
  804.000   304.080     2.000     0.000     1.000   919.600
  806.000   304.081     2.000     0.000     1.000   919.400
  808.000   304.081     2.000     0.000     1.000   919.200
  810.000   304.081     2.000     0.000     1.000   919.000
  812.000   304.081     2.000     0.000     1.000   918.800
  814.000   304.081     2.000     0.000     1.000   918.600
  816.000   304.082     2.000     0.000     1.000   918.400
  818.000   304.082     2.000     0.000     1.000   918.200
  820.000   304.082     2.000     0.000     1.000   918.000
  822.000   304.082     2.000     0.000     1.000   917.800
  824.000   304.082     2.000     0.000     1.000   917.600
  826.000   304.083     2.000     0.000     1.000   917.400
  828.000   304.083     2.000     0.000     1.000   917.200
  830.000   304.083     2.000     0.000     1.000   917.000
  832.000   304.083     2.000     0.000     1.000   916.800
  834.000   304.083     2.000     0.000     1.000   916.600
  836.000   304.084     2.000     0.000     1.000   916.400
  838.000   304.084     2.000     0.000     1.000   916.200
  840.000   304.084     2.000     0.000     1.000   916.000
  842.000   304.084     2.000     0.000     1.000   915.800
  844.000   304.084     2.000     0.000     1.000   915.600
  846.000   304.085     2.000     0.000     1.000   915.400
  848.000   304.085     2.000     0.000     1.000   915.200
  850.000   304.085     2.000     0.000     1.000   915.000
  852.000   304.085     2.000     0.000     1.000   914.800
  854.000   304.085     2.000     0.000     1.000   914.600
  856.000   304.086     2.000     0.000     1.000   914.400
  858.000   304.086     2.000     0.000     1.000   914.200
  860.000   304.086     2.000     0.000     1.000   914.000
  862.000   304.086     2.000     0.000     1.000   913.800
  864.000   304.086     2.000     0.000     1.000   913.600
  866.000   304.087     2.000     0.000     1.000   913.400
  868.000   304.087     2.000     0.000     1.000   913.200
  870.000   304.087     2.000     0.000     1.000   913.000
  872.000   304.087     2.000     0.000     1.000   912.800
  874.000   304.087     2.000     0.000     1.000   912.600
  876.000   304.088     2.000     0.000     1.000   912.400
  878.000   304.088     2.000     0.000     1.000   912.200
  880.000   304.088     2.000     0.000     1.000   912.000
  882.000   304.088     2.000     0.000     1.000   911.800
  884.000   304.088     2.000     0.000     1.000   911.600
  886.000   304.089     2.000     0.000     1.000   911.400
  888.000   304.089     2.000     0.000     1.000   911.200
  890.000   304.089     2.000     0.000     1.000   911.000
  892.000   304.089     2.000     0.000     1.000   910.800
  894.000   304.089     2.000     0.000     1.000   910.600
  896.000   304.090     2.000     0.000     1.000   910.400
  898.000   304.090     2.000     0.000     1.000   910.200
  900.000   304.090     2.000     0.000     1.000   910.000
  902.000   304.090     2.000     0.000     1.000   909.800
  904.000   304.090     2.000     0.000     1.000   909.600
  906.000   304.091     2.000     0.000     1.000   909.400
  908.000   304.091     2.000     0.000     1.000   909.200
  910.000   304.091     2.000     0.000     1.000   909.000
  912.000   304.091     2.000     0.000     1.000   908.800
  914.000   304.091     2.000     0.000     1.000   908.600
  916.000   304.092     2.000     0.000     1.000   908.400
  918.000   304.092     2.000     0.000     1.000   908.200
  920.000   304.092     2.000     0.000     1.000   908.000
  922.000   304.092     2.000     0.000     1.000   907.800
  924.000   304.092     2.000     0.000     1.000   907.600
  926.000   304.093     2.000     0.000     1.000   907.400
  928.000   304.093     2.000     0.000     1.000   907.200
  930.000   304.093     2.000     0.000     1.000   907.000
  932.000   304.093     2.000     0.000     1.000   906.800
  934.000   304.093     2.000     0.000     1.000   906.600
  936.000   304.094     2.000     0.000     1.000   906.400
  938.000   304.094     2.000     0.000     1.000   906.200
  940.000   304.094     2.000     0.000     1.000   906.000
  942.000   304.094     2.000     0.000     1.000   905.800
  944.000   304.094     2.000     0.000     1.000   905.600
  946.000   304.095     2.000     0.000     1.000   905.400
  948.000   304.095     2.000     0.000     1.000   905.200
  950.000   304.095     2.000     0.000     1.000   905.000
  952.000   304.095     2.000     0.000     1.000   904.800
  954.000   304.095     2.000     0.000     1.000   904.600
  956.000   304.096     2.000     0.000     1.000   904.400
  958.000   304.096     2.000     0.000     1.000   904.200
  960.000   304.096     2.000     0.000     1.000   904.000
  962.000   304.096     2.000     0.000     1.000   903.800
  964.000   304.096     2.000     0.000     1.000   903.600
  966.000   304.097     2.000     0.000     1.000   903.400
  968.000   304.097     2.000     0.000     1.000   903.200
  970.000   304.097     2.000     0.000     1.000   903.000
  972.000   304.097     2.000     0.000     1.000   902.800
  974.000   304.097     2.000     0.000     1.000   902.600
  976.000   304.098     2.000     0.000     1.000   902.400
  978.000   304.098     2.000     0.000     1.000   902.200
  980.000   304.098     2.000     0.000     1.000   902.000
  982.000   304.098     2.000     0.000     1.000   901.800
  984.000   304.098     2.000     0.000     1.000   901.600
  986.000   304.099     2.000     0.000     1.000   901.400
  988.000   304.099     2.000     0.000     1.000   901.200
  990.000   304.099     2.000     0.000     1.000   901.000
  992.000   304.099     2.000     0.000     1.000   900.800
  994.000   304.099     2.000     0.000     1.000   900.600
  996.000   304.100     2.000     0.000     1.000   900.400
  998.000   304.100     2.000     0.000     1.000   900.200
 1000.000   304.100     2.000     0.000     1.000   900.000
